1,egṓ
2,sú
3,autós
4,hēmeîs
5,humeîs
6,autoí
7,hóde
8,ekeînos
9,éntha
10,ekeî
11,tís
12,tí
13,poû
14,póte
15,pôs
16,ou
17,pâs
18,polús
19,tis
20,olígos
21,állos
22,heîs
23,dúo
24,treîs
25,téssares
26,pénte
27,mégas
28,makrós
29,eurús
30,puknós
31,barús
32,mīkrós
33,brakhús
34,stenós
35,manós
36,gunḗ
37,anḗr
38,ánthrōpos
39,téknon
40,gunḗ
41,anḗr
42,mḗtēr
43,patḗr
44,zôion
45,ikhthús
46,órnis
47,kúōn
48,phtheír
49,óphis
50,herpetón
51,déndron
52,húlē
53,baktēría
54,karpós
55,spérma
56,phúllon
57,rhíza
58,phloiós
59,ánthos
60,khlóē
61,desmós
62,dérma
63,kréas
64,haîma
65,ostoûn
66,dēmós
67,ōión
68,kéras
69,ourá
70,pterón
71,thríx
72,kephalḗ
73,oûs
74,ophthalmós
75,rhís
76,stóma
77,odoús
78,glôssa
79,ónux
80,poús
81,kôlon
82,gónu
83,kheír
84,ptérux
85,gastḗr
86,éntera
87,aukhḗn
88,nôton
89,mastós
90,kardía
91,hêpar
92,pínō
93,esthíō
94,dáknō
95,spáō
96,ptúō
97,eméō
98,phusáō
99,pnéō
100,geláō
101,blépō
102,akoúō
103,oîda
104,nomízō
105,osphraínomai
106,phobéomai
107,katheúdō
108,záō
109,apothnḗiskō
110,apokteínō
111,mákhomai
112,thēreúō
113,túptō
114,témnō
115,skhízō
116,kentéō
117,knáō
118,orússō
119,néō
120,pétomai
121,peripatéō
122,hiknéomai
123,keîmai
124,kathízō
125,hístēmi
126,trépō
127,píptō
128,parékhō
129,ékhō
130,piézō
131,tríbō
132,loúō
133,apomássō
134,hélkō
135,ōthéō
136,rhíptō
137,déō
138,rháptō
139,arithméō
140,phēmí
141,aeídō
142,paízō
143,néō
144,rhéō
145,pḗgnumai
146,auxánō
147,hḗlios
148,selḗnē
149,astḗr
150,húdōr
151,huetós
152,potamós
153,límnē
154,thálassa
155,háls
156,líthos
157,ámmos
158,kónis
159,gê
160,néphos
161,omíkhlē
162,ouranós
163,ánemos
164,khiṓn
165,krústallos
166,kapnós
167,pûr
168,téphra
169,kaíō
170,hodós
171,ákra
172,eruthrós
173,khlōrós
174,xanthós
175,leukós
176,mélas
177,núx
178,hēméra
179,étos
180,thermós
181,psukhrós
182,mestós
183,néos
184,palaiós
185,agathós
186,kakós
187,saprós
188,tholerós
189,euthús
190,kukloterḗs
191,tomós
192,amblús
193,leîos
194,hugrós
195,xērós
196,díkaios
197,engús
198,makrán
199,dexiós
200,aristerós
201,en
202,en
203,metá
204,kaí
205,ei
206,hóti
207,ónoma
# Half penalties for missing accents
accept,0.5,a,á
accept,0.5,e,é
accept,0.5,i,í
accept,0.5,o,ó
accept,0.5,u,ú
accept,0.5,y,ý
# Half penalties for missing special Ancient Greek characters
accept,0.5,a,ā
accept,0.5,e,ē
accept,0.5,i,ī
accept,0.5,o,ō
accept,0.5,e,ḗ
accept,0.5,o,ṓ
accept,0.5,a,â
accept,0.5,e,ê
accept,0.5,i,î
accept,0.5,o,ô
accept,0.5,u,û
# Half penalties for missing special Ancient Greek characters (w/ accents)
accept,0.5,á,ā
accept,0.5,é,ē
accept,0.5,í,ī
accept,0.5,ó,ō
accept,0.5,é,ḗ
accept,0.5,ó,ṓ
accept,0.5,á,â
accept,0.5,é,ê
accept,0.5,í,î
accept,0.5,ó,ô
accept,0.5,ú,û
